timestamp,max_vms,max_rss,max_uss
2018-08-23T09:26:24.846342,50.54M,11.86M,6.19M
2018-08-23T09:26:25.854609,50.54M,11.86M,6.19M
2018-08-23T09:26:26.863701,282.32M,243.57M,237.56M
2018-08-23T09:26:27.870134,282.32M,243.57M,237.56M
2018-08-23T09:26:28.879280,286.31M,247.42M,241.62M
2018-08-23T09:26:29.890867,475.88M,436.87M,430.91M
2018-08-23T09:26:30.892475,475.88M,436.87M,430.91M
