timestamp,max_vms,max_rss,max_uss
2018-08-23T09:49:18.105453,50.54M,12.0M,6.19M
2018-08-23T09:49:19.112164,50.54M,12.0M,6.19M
2018-08-23T09:49:20.113781,277.07M,235.65M,229.82M
2018-08-23T09:49:21.116765,282.32M,243.64M,237.56M
2018-08-23T09:49:22.122653,282.32M,243.64M,237.56M
2018-08-23T09:49:23.130993,475.88M,436.94M,430.91M
2018-08-23T09:49:24.143083,475.88M,436.94M,430.91M
2018-08-23T09:49:25.144737,475.88M,436.94M,430.91M
