timestamp,max_vms,max_rss,max_uss
2018-08-27T14:22:14.722119,50.54M,11.88M,6.19M
2018-08-27T14:22:15.722649,50.54M,11.88M,6.19M
2018-08-27T14:22:16.722830,280.82M,241.45M,235.57M
2018-08-27T14:22:17.724010,282.32M,243.52M,237.56M
2018-08-27T14:22:18.729098,282.32M,243.52M,237.56M
2018-08-27T14:22:19.731519,475.88M,436.82M,430.91M
2018-08-27T14:22:20.748916,475.88M,436.82M,430.91M
2018-08-27T14:22:21.765066,475.88M,436.82M,430.91M
