timestamp,max_vms,max_rss,max_uss
2018-08-23T09:28:43.940104,50.54M,11.94M,6.19M
2018-08-23T09:28:44.952227,50.54M,11.94M,6.19M
2018-08-23T09:28:45.966151,282.32M,243.58M,237.56M
2018-08-23T09:28:46.976581,282.32M,243.58M,237.56M
2018-08-23T09:28:47.991978,292.54M,253.77M,247.77M
2018-08-23T09:28:49.005133,475.88M,436.88M,430.91M
2018-08-23T09:28:50.005565,475.88M,436.88M,430.91M
