timestamp,max_vms,max_rss,max_uss
2018-08-27T14:22:22.779772,50.54M,11.95M,6.19M
2018-08-27T14:22:23.786222,50.54M,11.95M,6.19M
2018-08-27T14:22:24.800062,280.82M,241.27M,235.31M
2018-08-27T14:22:25.812832,282.32M,243.59M,237.56M
2018-08-27T14:22:26.830773,286.91M,248.14M,242.16M
2018-08-27T14:22:27.839681,475.88M,436.89M,430.91M
2018-08-27T14:22:28.856134,475.88M,436.89M,430.91M
